8333,2009-8-31,477,480,488,473,2021000
8334,2009-8-31,531,528,539,524,1318000
8336,2009-8-31,3320,3320,3380,3290,89100
8337,2009-8-31,807,809,814,793,77400
8338,2009-8-31,321,327,327,317,205800
8339,2009-8-31,1701,1675,1728,1654,261200
8341,2009-8-31,561,560,575,555,914000
8342,2009-8-31,380,386,386,376,282000
8343,2009-8-31,374,378,380,373,244000
8344,2009-8-31,526,529,533,520,474000
8345,2009-8-31,5450,5450,5540,5400,19100
8346,2009-8-31,425,428,431,423,277000
8349,2009-8-31,153,153,156,151,112000
8350,2009-8-31,206,209,209,203,133000
8354,2009-8-31,416,413,428,410,3999000
8355,2009-8-31,964,968,994,959,2379000
8356,2009-8-31,346,350,357,343,733000
8358,2009-8-31,909,912,929,903,1248000
8359,2009-8-31,536,535,544,529,1504000
8360,2009-8-31,503,504,510,500,226000
8361,2009-8-31,375,374,378,368,1830000
8362,2009-8-31,307,314,314,307,283000
8363,2009-8-31,355,361,364,351,464000
8364,2009-8-31,3670,3740,3760,3670,9700
8366,2009-8-31,595,594,605,587,491000
8367,2009-8-31,539,549,558,539,424000
8368,2009-8-31,482,488,495,480,663000
8369,2009-8-31,901,900,916,891,1354000
8374,2009-8-31,340,337,341,331,124000
8377,2009-8-31,235,233,242,230,4414000
8379,2009-8-31,398,397,406,394,1418000
8381,2009-8-31,860,863,873,851,480000
8382,2009-8-31,1257,1249,1267,1242,471000
8383,2009-8-31,259,262,263,258,84000
8385,2009-8-31,921,914,929,907,841000
8386,2009-8-31,455,460,464,450,507000
8387,2009-8-31,349,350,352,344,119000
8388,2009-8-31,554,557,560,551,445000
8390,2009-8-31,749,752,764,745,415000
8392,2009-8-31,415,399,418,398,2295000
8393,2009-8-31,385,391,394,385,170000
8394,2009-8-31,597,601,610,596,378000
8395,2009-8-31,318,319,325,315,294000
8396,2009-8-31,300,303,308,299,127000
8397,2009-8-31,3670,3670,3730,3660,14100
8398,2009-8-31,405,410,410,401,19000
8399,2009-8-31,1281,1291,1299,1273,149900
8403,2009-8-31,578,564,587,557,16422000
8404,2009-8-31,121,118,123,118,12479000
8409,2009-8-31,2775,2770,2785,2720,16500
8410,2009-8-31,236300,237200,239400,235200,5723
8411,2009-8-31,231,225,235,225,334375200
8415,2009-8-31,118,120,121,118,825000
8416,2009-8-31,82,82,82,81,78000
8418,2009-8-31,1100,1065,1108,1053,907000
8423,2009-8-31,11650,11510,11950,11510,1147
8424,2009-8-31,2105,2085,2150,2055,84900
8425,2009-8-31,1383,1391,1404,1333,200200
8426,2009-8-31,2720,2770,2790,2700,1202
8439,2009-8-31,1074,1066,1113,1061,412900
8462,2009-8-31,14800,16000,16000,14500,93
8473,2009-8-31,21380,21140,21990,20690,254971
8489,2009-8-31,115,113,115,110,20700
8508,2009-8-31,236,235,241,230,54400
